SampleID,Depth (m),Type,sample Number,Date Sampled,Total Alkalinity,Hardness,pH,Turbidity ,EC,Ca,Mg,Na,K,Fe,Mn,HCO3,CO3,SO4,Cl,F,NO3,NO2,TDS,Coord_Lat,Coord_Long
Napuu 1 Resample,110,Bh,2247,02/03/2019,460,190,8.12,0.15,1392,36,24.32,230,3.1,0.07,<0.01,553.88,20,81.4,110,0.95,0.42,<0.01,863.04,3.10608,35.64065
Natirnalulung Bh,102,Bh,2210,25/02/2019,104,108,7.95,1.37,273,33.6,5.85,11.2,3,0.07,<0.01,125.76,14,6.29,13,0.5,4.69,<0.01,169.26,3.14602,35.78085
Apuwa Bh,,Bh,2220,26/02/2019,300,160,8.24,0.15,646,32,19.46,74,1,0.03,<0.01,359.73,8,12.4,18,0.82,<0.01,<0.01,400.52,3.10803,35.59348
Canaan Bh,,Bh,2241,01/03/2019,850,50,8.64,0.22,1930,12,4.87,420,1.4,0.07,<0.01,993.53,NIL,94.29,5,3.36,1.22,<0.01,1196.6,3.14226,35.73943
Chukultom Hp,31,Hp,2228,28/02/2019,240,22,8.56,NIL,736,7.2,0.98,160,1.1,0.07,<0.01,282.52,NIL,35,62,1.56,0.13,<0.01,456.32,3.11827,35.58025
Eleleia Pri Hp,35,Hp,2216,26/02/2019,340,4,8.67,0.49,906,NIL,0.97,206,0.2,0.03,<0.01,396.22,NIL,32.14,50,2.15,3.07,<0.01,375.72,3.11458,35.56432
Frontier Ltd Bh,,Bh,2231,01/03/2019,268,90,8.26,NIL,645,22.4,8.27,105,2.6,0.03,<0.01,321.10,10,10.14,14,0.25,0.13,<0.01,399.9,3.12469,35.73572
Kakemera Church,45,Hp,2222,26/02/2019,550,190,8.18,7.12,1182,39.2,22.38,180,0.9,0.23,<0.01,660.97,26,11.34,538,1.75,0.15,<0.01,732.84,3.0654,35.56162
Katapakori Hp 1,,Hp,2260,05/03/2019,298,220,7.95,0.37,643,29.6,35.49,46,0.3,0.1,<0.01,360.34,20,5.57,NIL,1.59,1.06,<0.01,398.66,3.10402,35.56311
Katapakori Hp 2,,Hp,2259,05/03/2019,384,62,8.21,0.4,774,12,7.78,150,0.3,0.1,<0.01,460.99,6,4.48,1,0.41,1.45,<0.01,479.88,2.99942,35.51371
Lokipetot Hp,,Hp,2236,01/03/2019,222,76,8.4,1.38,516,16.8,8.27,80,3.4,0.1,<0.01,264.19,NIL,19.89,27,0.48,0.2,<0.01,319.92,3.12309,35.74906
