SampleID,Depth (m),S.W.L.(m),W.R.L.(m),Pump Depth,Yield (m3/hr),Elev_Data,Sample_Date,Analysis_Date,Reference,Labcode,StationID,shortWatertype,Coord_Lat,Coord_Long,Elevation,Meas_Alk,Meas_Hardness,Turbidity,Temp,ph_Field,Cond_Field,pH_lab,Cond,TDS,Ca,Mg,Na,K,Fe_tot,Mn_tot,HCO3,CO3,SO4,Cl,F,NO3,NO2
Napuu 1 Resample,110,1.2,3.5,,100,502,02/06/2018,11/07/2018,Bh,3372,Stop 147,Na-HCO3,3.10608,35.64065,502,408,160,1.06,33,8.3,1250,7.7,1221,757,22.4,25.28,203,5.7,0.03,<0.01,495.27,6,69.08,111,0.83,0.71,<0.01
Natirnalulung Bh,102,54.7,62,,8,462,01/06/2018,11/07/2018,Bh,3367,Stop 129,Ca-HCO3,3.14602,35.78085,462,120,122,1.46,32,8.63,320,7.7,307,190.34,36,7.8,11.5,4.8,0.03,<0.01,145.67,4,8.41,19,0.42,0.15,<0.01
Bh 6,32,1.9,3.9,,22,499,03/06/2018,11/07/2018,Bh,3389,Stop 169,Na-HCO3,3.10803,35.59348,499,232,110,0.75,32.9,8.33,590,7.8,562,348.44,20,14.59,76,4.4,0.03,0.04,281.26,4,25,25,0.35,0.3,<0.01
Chokochok Pry,38,2.42,,10,7.4,,30/05/2018,11/07/2018,Hp,3341,Stop 89,Na-HCO3,3.14226,35.73943,453,270,254,3.77,33.4,7.77,929,7.9,860,575.98,32,42.29,93,4.7,>0.01,0.6,326.8,2,20.92,118,0.84,0.14,0.07
Chukultom Hp,31,4.8,6.5,,1.3,497,03/06/2018,11/07/2018,Hp,3386,Stop 166,Na-HCO3,3.11827,35.58025,497,282,36,2.03,35.3,9.28,888,8.3,940,550.56,1.6,7.77,186,2.6,0.03,<0.01,337.29,<1,47.13,93,0.67,0.17,0.04
Comboni Girls,15,,,,1.8,532,05/06/2018,11/07/2018,Bh,3398,Stop 184,Na-HCO3,3.11458,35.56432,532,320,6,0.16,33.6,9.58,1220,8.3,1199,743.38,0,1.46,272,1.6,0.03,<0.01,382.75,0,73.67,140,1.41,0.57,0.05
Eleleia Pri Hp,77,45,,61,7.5,465,01/06/2018,11/07/2018,Hp,3364,Stop 124,Na-HCO3,3.12469,35.73572,465,708,60,1.44,35.7,9.59,1557,8.8,1410,965.34,4,12.15,330,1.1,0.1,<0.01,812.38,<1,29.87,25,4.58,0.37,<0.01
Kakemera Church,45,,,,,510,24/05/2018,11/07/2018,Hp,3302,Stop 17,Na-HCO3,3.0654,35.56162,513,626,208,6,35,7.61,1308,7.9,1230,829.56,42.4,24.81,203,2.7,0.07,<0.01,757.69,24,15.71,24,1.25,0.2,<0.01
Kochoda Hp,44.5,,37.14,,3,482,26/05/2018,11/07/2018,Hp,3391,Stop 32/Stop 176,Na-HCO3,3.10402,35.56311,482,376,16,2.17,33.9,9.76,850,8.7,860,527,<1,3.89,187,1.2,0.1,<0.01,436.78,<1,22.24,15,1.62,0.15,<0.01
Limyounsim Bh,52,,,,,549,25/05/2018,11/07/2018,Bh,3309,Stop 27,Na-HCO3,2.99942,35.51371,549,584,194,4.72,34.7,7.93,1673,8.2,1393,863.66,56,13.15,227,6.4,0.07,<0.01,701.34,12,41.22,44,1.43,1.08,<0.01
